count,weighted_zu,weighted_zl,mean_expenses,min_expenses,max_expenses,families,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13
5,93353.38845049999,8084.478644,17204.0,6469,22676,"133,5884,43547,65672,82750",0,1,0,0,1,0,0,0,0,0,1,1,0,0
187,2781492.9957088893,236142.20092957906,19648.272727272728,4005,79944,"18,463,6353,2360,6999,2550,2493,2782,2865,3103,3707,4564,4614,9274,9464,9472,7963,8300,8706,9662,9795,10330,12427,14217,14761,14902,14928,15495,15560,15917,16477,16527,16626,17608,18671,20115,20289,21071,22483,22640,22657,22822,23622,24083,24893,24950,25379,26799,28530,28548,28746,28969,29686,30304,30312,30668,30866,31260,31328,31948,32102,32946,33076,33902,34975,35527,35857,36152,36319,37127,37440,37648,38802,40238,40246,40667,41517,42846,44149,44222,44529,45401,46425,47381,47761,48090,48108,48686,48819,48942,48975,49387,49486,49684,49874,49973,50385,50849,51060,52613,52746,53512,54254,54957,55004,55012,55053,55129,55251,55954,56341,56473,56499,56549,56606,56879,57810,57828,58370,58594,58768,59741,59758,59824,60624,62042,62828,63214,63479,64485,64931,65086,66084,66894,67355,67884,68577,68767,68882,69104,69245,70862,70870,71324,72066,72330,72843,73783,74054,74435,75457,75820,75846,76224,77420,77917,77933,78857,79772,80036,80119,80127,80853,81349,81356,82461,82685,82875,83410,83543,84186,84632,84855,85209,85233,85928,86009,86074,86314,86702,87593,87684,87981,88534,88583,88930,89011",0,0,0,0,0,0,0,0,1,0,0,0,1,1
7,115163.27819149997,7305.094297900001,9100.42857142857,566,15890,"141,2758,4416,5025,68957,73858,74963",0,0,0,0,0,0,0,0,0,3,0,0,0,0
16,161826.30470240006,4637.14687648,10646.5,1851,16605,"158,3194,12310,17723,17814,27912,35881,38984,40444,43620,46623,49742,53215,62687,84731,90043",0,0,0,0,0,0,0,0,2,0,0,0,0,0
137,1514837.116619598,71539.51844747993,12840.036496350365,3165,87438,"166,323,6155,1032,1230,1693,2972,3327,3863,5959,7492,9209,10975,12815,13367,13722,13920,14944,15347,15941,15990,17806,19521,20248,20602,21691,24208,26435,26963,26989,28084,28241,28464,28811,28852,30122,30148,31922,32565,34421,34538,35279,36194,36467,36491,36566,38497,38539,39073,39776,42754,44933,45385,45393,45948,46201,46631,46664,46730,47142,49452,49460,49791,50286,50450,50815,51078,51755,52506,53058,53090,53108,53520,54049,54288,54890,55079,56788,57661,58024,58560,59006,59162,59253,60319,61697,61754,61770,61820,61986,62125,62216,63172,63966,65581,65938,66118,67207,67827,68098,68361,68775,71522,71530,71902,71985,72025,72322,72371,72447,72470,73338,73742,74260,74278,74377,74625,74849,74989,75440,76604,77099,77263,77867,78485,79855,81786,83394,83709,84319,85142,85423,85845,86686,87361,88625,88690",0,0,0,0,0,0,0,0,1,1,0,0,0,0
39,720325.9693851005,56568.78471503996,20000.25641025641,8593,39767,"34,3665,3723,4390,7716,10777,11122,11635,18457,19158,19612,21006,21196,23291,25627,25999,26310,27797,34017,39115,41194,47787,48199,50500,54197,56358,58776,59816,62844,68197,69484,69948,71399,73239,74179,79129,81778,86025,87502",1,0,1,0,0,0,0,0,0,0,1,1,0,0
330,2197347.073581008,194521.75346999904,9462.933333333332,757,84399,"174,67,281,307,372,6320,6387,2287,3350,703,943,1131,1412,1586,1727,2022,2485,2899,2915,2931,3509,3590,3699,5405,5439,5470,5678,5876,9092,9134,9183,9639,7930,8078,8193,8227,8268,8631,9720,9738,9787,10405,10587,10645,10702,10710,10728,11098,11270,11304,11452,11494,11536,11833,11874,12039,12047,12872,12948,13078,13219,13284,13375,13383,13466,13698,14332,14423,14936,15313,15503,17020,17913,17939,18002,18028,18333,18465,18507,19117,19364,20057,20099,20198,20255,21063,21188,21576,22830,23143,23606,23671,23903,24216,24554,24562,24570,24638,24729,24828,25056,25197,25387,25544,25973,26302,26823,26872,27342,27482,27995,28134,28159,28373,28423,28498,28647,29363,29413,29462,29488,30023,30171,30684,30692,30924,33050,33068,33274,33332,33837,33845,34140,34280,34371,34439,34546,34876,35428,35873,35956,36178,36459,36731,37317,37358,37861,37887,37903,38174,38950,39271,39347,39495,40873,40881,41020,41442,42002,42077,42119,42382,43018,43141,43232,43679,43729,44123,44313,44446,44461,44552,44560,45229,45427,46284,46706,46755,47985,48371,48397,48405,48447,48504,49361,49643,50161,50427,50567,51003,52035,52068,52258,52266,52274,52969,53702,53736,54080,55038,55293,55442,55491,55566,55657,56523,57034,58164,58198,58255,58420,59212,59220,59329,60681,60749,61226,61309,61788,61853,62026,62224,62349,62745,63362,63586,63594,63669,63909,64147,64667,65516,65565,65722,66290,66845,67025,67116,67124,67199,67439,67728,67777,68320,68379,68395,68437,68932,69039,69252,69302,69757,70037,70250,70268,70375,71050,71076,71118,71704,71753,71803,72041,72744,73064,73213,73577,73593,73825,73866,74237,74369,74591,74609,74641,74682,74716,74765,75762,77354,77404,77719,77826,78097,78329,78394,78790,78832,78873,78972,79012,79509,79582,79608,79616,79806,79814,79822,80218,80374,82073,82883,83451,83477,83568,83642,83790,83840,83915,85035,85043,85175,85308,85316,85365,85688,85696,86405,86587,86769,86843,86918,86942,87189,87601,88435,88666,89128,89896,90126",0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,17824.795615900002,498.74689522,9482.0,9482,9482,182,0,0,0,0,0,0,0,0,3,0,1,0,0,0
749,5845272.999596714,594066.3208193021,8819.200267022698,594,55289,"190,273,299,315,364,125,497,505,521,539,6304,6361,6379,6445,6510,6569,6932,7088,7112,3392,646,653,661,679,828,984,992,1008,1024,1065,1073,1107,1164,1180,1263,1313,1354,1545,1685,1909,1982,2188,2196,2204,2626,2659,2923,2956,3137,3467,3475,3483,3806,3855,3962,4200,4754,4812,4838,4994,5447,5454,5538,5686,5694,5728,5793,5892,5918,5942,6064,6072,6080,7187,7351,7393,7278,9084,9100,9225,9266,9449,9530,7559,7740,7831,8045,8151,8458,8516,8565,8581,8664,8862,9654,9688,9696,9969,10272,10413,10439,10462,10785,10801,10827,10884,10926,10959,11080,11189,11403,11551,11650,11841,11882,11908,12021,12179,12187,12252,12401,12906,12922,13086,13094,13409,13417,13441,13532,13656,13714,13789,13896,13953,14001,14142,14456,14498,14597,14639,14878,14951,14993,15305,15321,15537,15602,15701,15735,15891,15933,16014,16253,16345,16360,16402,16428,16501,16667,16998,17087,17194,17293,17475,17566,17640,17673,17681,17954,18077,18093,18317,18325,18481,18788,18796,18853,19422,19687,19935,19992,20081,20131,20271,20305,20347,20651,20677,20743,20925,20933,20941,20990,21014,21022,21048,21113,21295,21717,21741,21766,21873,21956,21998,22020,22038,22376,22541,22582,22921,22939,22970,22988,23002,23077,23168,23242,23457,23515,23689,23697,23705,24158,24232,24299,24547,25064,25130,25239,25643,25965,26013,26344,26351,26484,26542,26658,26708,27003,27359,27474,27490,27532,27581,27672,27755,27813,27896,28175,28233,28332,28340,28613,29058,29397,29512,29603,29611,29694,29710,29728,29959,30130,30155,30163,30288,30353,30494,30676,31088,31104,31138,31146,31369,31476,31575,31583,31617,31674,31831,31906,32128,32144,32201,32284,32441,32524,32730,32888,33118,33563,33753,33860,33969,34199,34389,34868,34967,35048,35071,35220,35345,35436,35725,35774,36137,36368,36418,36509,36574,36814,36921,37101,37325,37374,37598,37663,37721,37770,37788,37853,38042,38141,38455,38521,38604,38711,38745,38794,39156,39164,39222,39230,39263,39420,39545,39552,39883,40279,40311,40691,40741,40758,40790,40840,41178,41400,41608,41871,42051,42226,42341,42408,42648,42671,42705,42804,42812,42861,42994,43026,43042,43257,43422,43455,43489,43893,43927,44057,44081,44180,44214,44396,44586,44768,44776,44784,44800,44982,45047,45070,45104,45294,45336,45377,45450,45740,45799,45823,45963,46144,46367,46375,46409,46540,46607,46748,46938,47084,47092,47134,47183,47241,47258,47266,47373,47654,47662,48041,48074,48157,48223,48355,48512,48538,48561,48629,48926,48991,49098,49221,49239,49247,49494,49510,49585,49692,49759,49833,49866,49999,50005,50054,50096,50211,50237,50369,50583,50732,50765,50872,51052,51110,51425,51565,51862,52043,52365,52399,52563,52696,52936,53009,53074,53249,53348,53397,53504,53579,53744,53769,53918,53942,54031,54114,54270,54312,54338,54353,54452,54684,54999,55194,55236,55285,55301,55418,55541,55699,55848,55889,55897,56267,56325,56382,56705,56762,56796,56853,56887,56903,57000,57307,57315,57620,57737,57927,57984,58362,58404,58578,58669,59089,59170,59261,59279,59303,59337,59386,59402,59451,59600,59782,59998,60145,60301,60384,60392,60707,60756,60822,60855,61044,61051,61267,61291,61325,61663,61838,62182,62190,62208,62323,62356,62448,62638,62786,62869,62877,63198,63370,63453,63545,63644,63768,63818,63875,63891,64055,64113,64162,64188,64279,65011,65334,65508,65698,65805,65995,66654,66696,66787,66837,66852,66902,66910,66936,67363,67389,67660,67819,67900,68064,68106,68148,68205,68510,68940,69328,69419,69633,69765,69856,69971,70144,70201,70292,70391,70532,70748,70789,70797,71084,71175,71480,71639,71647,71720,71746,71795,72009,72181,72280,72298,72405,72850,73007,73031,73080,73320,73346,73361,73494,73585,73643,74047,74195,74229,74245,74252,74344,74351,74393,74740,74773,74823,74930,74997,75002,75192,75283,75374,75390,75663,75838,75903,76000,76273,76471,76729,77057,77073,77396,77511,77602,77610,77685,78014,78063,78212,78303,78402,78725,79020,79293,79459,79533,79590,79624,79947,80515,80580,80747,80788,81216,81240,81257,81620,81687,81802,81828,81901,81943,81950,82230,82438,82511,82552,82735,82842,82909,83139,83238,83576,83584,83626,83634,83683,83873,83881,84038,84046,84095,84210,84251,84335,84442,84491,84616,84814,84921,84954,84970,84988,85019,85050,85076,85084,85266,85340,85431,85480,85548,85605,85712,85746,85753,85852,86090,86660,86959,87130,87213,87460,87494,87510,87551,87742,87759,87817,87858,87882,87999,88286,88476,88526,88716,88781,89045,89078,89177,89425,89441,89730,89854,90118,90134,90191,90282",0,0,0,0,0,0,0,0,0,0,0,0,0,1
1487,16900832.799607866,1793504.9860564603,15590.478816408877,1277,146583,"208,42,83,331,91,109,380,117,448,6163,6221,6239,6262,6346,6403,6460,2238,6536,6676,6726,6890,6924,6965,7005,7021,7062,2600,3418,3426,3434,3442,620,687,745,778,786,810,869,877,976,1149,1206,1339,1453,1487,1511,1529,1537,1594,1602,1636,1644,1651,1669,1768,1800,1818,1834,1875,1917,1925,1974,2030,2055,2071,2089,2097,2121,2410,2683,2725,2808,2824,2873,2980,3004,3079,3087,3095,3111,3152,3202,3491,3517,3533,3574,3616,3624,3657,3772,3889,3996,4036,4101,4135,4143,4218,4259,4309,4325,4366,4432,4457,4465,4473,4481,4499,4507,4572,4713,4796,4846,4861,4879,4887,4929,4937,5165,5181,5199,5272,5348,5355,5462,5496,5587,5629,5660,5710,5900,5934,6049,7179,7195,7229,7237,7443,7468,7500,8995,9043,9076,9142,9217,9381,9423,9431,9522,9548,9589,9621,7567,7583,7625,7658,7674,7682,7708,7765,7799,7823,7922,8029,8037,8102,8144,8169,8201,8292,8433,8508,8524,8607,8649,8805,8813,8839,8912,9670,9779,9837,9894,10009,10074,10090,10140,10157,10199,10256,10314,10355,10512,10546,10553,10579,10843,10850,10934,10967,11072,11106,11130,11163,11221,11247,11312,11346,11361,11387,11437,11486,11502,11544,11627,11668,11684,11692,11734,11809,11916,11940,11973,11981,12229,12237,12336,12344,12419,12518,12534,12542,12591,12807,12856,12898,12955,13037,13052,13144,13227,13292,13300,13326,13342,13359,13524,13623,13631,13649,13680,13763,13771,13839,13995,14076,14084,14118,14134,14415,14480,14514,14555,14647,14704,14779,14803,14811,14845,14860,14969,14985,15032,15057,15065,15289,15412,15438,15461,15552,15578,15685,15768,15834,15982,16055,16097,16105,16113,16162,16238,16246,16394,16535,16568,16592,16857,16865,17038,17053,17095,17210,17228,17236,17251,17277,17368,17384,17467,17483,17707,18069,18101,18192,18382,18473,18549,18564,18705,18721,18747,18754,18812,18838,18846,18861,18903,18978,18994,19083,19133,19166,19273,19349,19356,19562,19570,19620,19661,19737,19752,19794,19836,19851,19901,19919,20065,20107,20156,20339,20362,20404,20586,20628,20669,20685,20750,20826,20834,20842,20859,20867,20909,20917,20966,20982,21089,21204,21220,21352,21402,21428,21543,21568,21634,21683,21709,21733,21857,21881,21915,21931,22046,22053,22079,22327,22392,22558,22632,22681,22707,22731,22749,22798,22806,22855,22863,22871,22889,22897,22947,22962,22996,23036,23093,23119,23192,23333,23408,23424,23440,23465,23531,23549,23648,23770,23788,23804,23812,23838,23887,23994,24026,24034,24091,24109,24117,24125,24133,24190,24463,24521,24653,24745,24760,24778,24802,24851,24869,24943,25296,25353,25361,25445,25494,25510,25585,25635,25650,25668,25676,25692,25718,25759,25809,25874,25924,25932,26021,26062,26088,26146,26278,26294,26328,26401,26427,26567,26583,26641,26666,26674,26682,26732,26765,26914,26955,27227,27326,27524,27565,27748,27771,27847,28092,28191,28365,28431,28662,28829,28845,28910,29017,29371,29405,29421,29454,29520,29538,29546,29579,29629,29637,29645,29678,29751,29777,29835,29918,30106,30239,30338,30502,30585,30601,30619,30791,30858,30908,30981,31013,31039,31096,31112,31187,31203,31237,31443,31484,31492,31559,31609,31633,31765,31807,31856,31930,31971,31997,32045,32060,32086,32110,32250,32359,32458,32466,32508,32557,32573,32631,32649,32656,32664,32698,32748,32755,32763,32797,32813,32912,32920,32979,32987,33084,33167,33175,33241,33258,33290,33498,33571,33662,33688,33779,33795,33878,33951,33977,34041,34108,34116,34264,34314,34322,34454,34504,34512,34660,34678,34736,34751,34769,34819,34892,34918,34934,34991,35022,35063,35097,35121,35147,35337,35600,35626,35634,35667,35782,35824,35907,35923,35980,36004,36020,36103,36202,36228,36285,36384,36558,36772,36806,36822,36830,37051,37150,37168,37200,37283,37333,37390,37473,37531,37556,37614,37671,37739,37796,37804,37937,37978,38000,38018,38034,38059,38125,38281,38331,38679,38703,38844,38869,39016,39024,39354,39529,39537,39560,39578,39594,39651,39792,39818,39826,39834,39859,39958,40006,40014,40055,40063,40113,40170,40287,40428,40477,40485,40501,40527,40550,40584,40634,40733,40766,40808,40832,40865,40998,41103,41111,41129,41236,41244,41269,41350,41459,41475,41582,41590,41822,41863,41947,42192,42309,42333,42374,42499,42523,42630,42747,42887,42895,42903,42978,42986,43083,43109,43125,43133,43182,43208,43224,43240,43265,43281,43299,43307,43364,43430,43463,43471,43539,43588,43596,43661,43851,43950,43976,43984,43992,44032,44073,44099,44107,44206,44255,44297,44321,44339,44636,44644,44669,44701,44727,44735,44750,44842,44875,44883,44891,44917,44925,45088,45096,45112,45120,45211,45237,45435,45492,45518,45583,45609,45690,45716,45906,45930,45955,45997,46037,46045,46060,46110,46177,46219,46227,46250,46276,46342,46391,46508,46615,46698,46870,47043,47050,47175,47217,47282,47365,47506,47670,47738,47993,48009,48082,48140,48348,48363,48413,48496,48520,48645,48652,48728,48827,48850,48868,48884,48900,49007,49072,49080,49114,49155,49163,49171,49262,49544,49577,49676,49718,49775,49817,50021,50047,50138,50294,50302,50377,50419,50591,50625,50682,50781,50799,50807,50997,51011,51037,51185,51276,51391,51409,51482,51581,51623,51789,51854,51888,51904,51920,52001,52126,52142,52209,52290,52332,52381,52456,52464,52472,52605,52753,52944,52951,53017,53041,53082,53124,53132,53256,53363,53405,53561,53587,53595,53652,53660,53710,53785,53819,53926,53967,53983,54015,54064,54148,54155,54163,54189,54296,54304,54320,54346,54437,54460,54478,54510,54601,54619,54627,54635,54643,54700,54783,55095,55103,55145,55244,55269,55277,55335,55384,55392,55483,55509,55517,55533,55632,55640,55665,55806,55814,55822,55855,55962,56044,56051,56077,56093,56218,56283,56390,56408,56580,56598,56630,56663,56713,56739,56747,56804,56937,56945,57018,57026,57042,57075,57091,57117,57133,57208,57265,57299,57323,57331,57372,57448,57455,57463,57471,57604,57745,57778,57786,57893,57976,58115,58271,58305,58396,58446,58453,58479,58529,58677,58685,58750,58784,58826,58875,58990,59014,59030,59097,59105,59147,59238,59444,59477,59485,59501,59535,59550,59584,59626,59709,59790,59808,59832,59881,59956,59980,60046,60061,60095,60111,60269,60293,60327,60376,60467,60475,60491,60517,60525,60541,60558,60574,60582,60590,60632,60640,60699,60715,60764,60780,60806,60830,60921,60939,60954,61036,61168,61176,61184,61192,61234,61259,61317,61366,61507,61523,61564,61713,61812,61846,61879,61887,61903,62034,62075,62083,62117,62232,62380,62414,62497,62695,62752,62927,63180,63396,63404,63446,63461,63487,63495,63503,63701,63719,63727,63735,63974,63982,64014,64048,64097,64105,64139,64154,64204,64261,64295,64337,64345,64444,64451,64469,64519,64634,64691,64717,64782,64873,64899,64907,64964,64972,65029,65102,65151,65177,65201,65227,65235,65318,65458,65474,65532,65557,65607,65623,66019,66027,66076,66134,66563,66605,66621,66688,66829,66944,66993,67322,67330,67348,67397,67405,67546,67579,67587,67595,67678,67686,67694,67736,67801,67967,68031,68056,68189,68213,68221,68353,68601,68692,68759,68866,69054,69096,69377,69401,69468,69518,69542,69799,69849,69864,69872,70128,70151,70185,70235,70409,70417,70425,70540,70573,70581,70607,70623,70649,70672,70706,70730,70771,70821,70904,70912,70920,71019,71068,71134,71159,71167,71209,71217,71472,71514,71548,71571,71605,71670,71738,71944,71993,72108,72157,72223,72314,72355,72496,72579,72595,72637,72694,72702,72710,72751,72769,72819,72884,72991,73189,73288,73296,73353,73411,73429,73437,73452,73460,73478,73544,73619,73692,73775,73791,73924,73965,74070,74088,74161,74203,74302,74310,74336,74401,74450,74500,74666,74708,74732,74781,74799,74807,74922,75044,75085,75119,75143,75168,75226,75317,75358,75523,75572,75580,75622,75655,75713,75804,75853,75952,76034,76059,76083,76109,76166,76448,76539,76588,76638,76695,76802,76885,76950,76992,77008,77032,77115,77123,77198,77438,77487,77560,77743,77800,77818,77834,77842,77875,77990,78006,78071,78089,78147,78196,78279,78352,78378,78410,78469,78519,78550,78626,78634,78683,78733,78766,78782,78824,78923,78949,79087,79152,79277,79418,79475,79483,79558,79574,79731,79848,79871,79889,79905,79913,79988,80135,80143,80200,80242,80309,80317,80341,80382,80457,80523,80531,80598,80697,80796,80978,80994,81000,81141,81166,81174,81190,81323,81455,81497,81554,81653,81695,81919,81968,82065,82115,82222,82263,82313,82339,82388,82404,82560,82602,82628,82644,82891,83097,83105,83113,83147,83162,83188,83311,83345,83444,83519,83592,83618,83667,83832,83857,83865,83899,83956,83980,84053,84368,84434,84467,84475,84558,84582,84681,84699,84764,84822,84863,84871,84962,85068,85092,85118,85159,85191,85282,85290,85324,85415,85449,85456,85472,85514,85555,85571,85613,85621,85803,85811,85860,85878,85894,85993,86108,86140,86157,86173,86199,86223,86249,86322,86355,86389,86421,86553,86579,86850,86868,86892,87007,87023,87106,87148,87452,87643,87668,87692,87718,87841,87866,88088,88153,88195,88260,88294,88351,88401,88484,88674,88708,88724,88799,88831,88864,88955,88971,89052,89219,89953,90167,90225",0,0,0,0,0,0,0,0,0,0,0,0,1,1
